Msg File Name, Msg size (B), Signing time (ms)
1000.txt,101000,339
10000.txt,1010000,216
100000.txt,10100000,223
11000.txt,1111000,208
12000.txt,1212000,201
13000.txt,1313000,210
14000.txt,1414000,196
15000.txt,1515000,196
16000.txt,1616000,189
17000.txt,1717000,204
18000.txt,1818000,200
19000.txt,1919000,193
2000.txt,202000,195
20000.txt,2020000,228
21000.txt,2121000,239
22000.txt,2222000,270
23000.txt,2323000,219
24000.txt,2424000,218
25000.txt,2525000,234
26000.txt,2626000,296
27000.txt,2727000,346
28000.txt,2828000,338
29000.txt,2929000,331
3000.txt,303000,315
30000.txt,3030000,312
31000.txt,3131000,284
32000.txt,3232000,268
33000.txt,3333000,232
34000.txt,3434000,238
35000.txt,3535000,248
36000.txt,3636000,226
37000.txt,3737000,233
38000.txt,3838000,228
39000.txt,3939000,227
4000.txt,404000,197
40000.txt,4040000,233
41000.txt,4141000,223
42000.txt,4242000,239
43000.txt,4343000,348
44000.txt,4444000,255
45000.txt,4545000,231
46000.txt,4646000,227
47000.txt,4747000,237
48000.txt,4848000,230
49000.txt,4949000,232
5000.txt,505000,212
50000.txt,5050000,223
51000.txt,5151000,226
52000.txt,5252000,286
53000.txt,5353000,246
54000.txt,5454000,230
55000.txt,5555000,228
56000.txt,5656000,245
57000.txt,5757000,247
58000.txt,5858000,232
59000.txt,5959000,308
6000.txt,606000,261
60000.txt,6060000,243
61000.txt,6161000,239
62000.txt,6262000,231
63000.txt,6363000,247
64000.txt,6464000,247
65000.txt,6565000,244
66000.txt,6666000,238
67000.txt,6767000,228
68000.txt,6868000,229
69000.txt,6969000,234
7000.txt,707000,232
70000.txt,7070000,247
71000.txt,7171000,232
72000.txt,7272000,245
73000.txt,7373000,252
74000.txt,7474000,276
75000.txt,7575000,317
76000.txt,7676000,235
77000.txt,7777000,275
78000.txt,7878000,321
79000.txt,7979000,234
8000.txt,808000,211
80000.txt,8080000,256
81000.txt,8181000,240
82000.txt,8282000,224
83000.txt,8383000,233
84000.txt,8484000,257
85000.txt,8585000,251
86000.txt,8686000,234
87000.txt,8787000,253
88000.txt,8888000,249
89000.txt,8989000,230
9000.txt,909000,231
90000.txt,9090000,291
91000.txt,9191000,253
92000.txt,9292000,238
93000.txt,9393000,243
94000.txt,9494000,279
95000.txt,9595000,235
96000.txt,9696000,245
97000.txt,9797000,238
98000.txt,9898000,242
99000.txt,9999000,239
